,MSE,MAE,RMSE,MAPE,THEIL_U
0,592.557125196183,16.62355075750663,24.342496281116755,0.07783934680689397,1.4423028291814014e-06
1,336.0047651898666,11.091548401659376,18.330432760572418,0.05463862827017068,8.178462511801362e-07
2,415.42159576613614,12.865189202062782,20.38189382187377,0.061386064821349735,1.011149334637028e-06
3,338.35381908464757,10.50113949052297,18.39439640446643,0.05020639929202138,8.235639228345283e-07
4,394.14290619116554,12.521824152089035,19.853032669876043,0.05973101630529832,9.593563295911567e-07
5,585.7499627012611,16.52333705276634,24.202271849999146,0.07799194045273421,1.4257339798542197e-06
6,347.61848960535355,11.178059455310489,18.644529750180173,0.05338520778056274,8.461144246093975e-07
7,529.1679794794629,15.505862644811694,23.003651437966603,0.07284372539932146,1.2880116388149902e-06
8,643.0772302001645,18.493781317360348,25.35896745138028,0.08766182971813175,1.565270366452445e-06
9,395.7802331203914,12.410018833811682,19.894226125195004,0.05868643559014225,9.633416352467683e-07
Média,457.7874106534632,13.771431130790134,21.240589855262662,0.06543705944366265,1.1142690712402071e-06
Desvio Padrão,117.79820574895771,2.785972950103605,2.7130862405869696,0.012686859100113327,2.867245674718096e-07
