,MSE,MAE,RMSE,MAPE,THEIL_U
0,1291.0416259765625,32.504066467285156,32.504066467285156,0.14060461521148682,2.4136392295448713e-06
1,1.6387832147302106e-05,0.0033660447224974632,0.0033660447224974632,0.3807535767555237,2.071711862424757e-05
2,1.1385835932742339e-05,0.0026291029062122107,0.0026291029062122107,0.29761895537376404,1.4393712534585985e-05
3,5.261002115730662e-06,0.0013549503637477756,0.0013549503637477756,0.15208013355731964,6.650837367669993e-06
4,7.608246505697025e-06,0.0019705912563949823,0.0019705912563949823,0.22011297941207886,9.618170210175285e-06
5,1.781716855475679e-05,0.003703496651723981,0.003703496651723981,0.4148748517036438,2.2524057627479353e-05
6,1.3891458365833387e-05,0.002899263985455036,0.002899263985455036,0.3271196186542511,1.7561263214935613e-05
7,1.2214552953082602e-05,0.002837934298440814,0.002837934298440814,0.3215023875236511,1.544135807372936e-05
8,1.2298393812670838e-05,0.0026648500934243202,0.0026648500934243202,0.2948712110519409,1.5547348795757602e-05
9,8.39393487694906e-06,0.002123108133673668,0.002123108133673668,0.23981797695159912,1.0611418430731057e-05
Média,129.10417312349878,3.252761580969673,3.252761580969673,0.2789356306195259,1.3547892410885668e-05
Desvio Padrão,408.2632055189103,10.277860908171245,10.277860908171245,0.09055451575367353,6.253723332046077e-06
