,MSE,MAE,RMSE,MAPE,THEIL_U
0,6.452977231674595e-06,0.002028833609074354,0.002028833609074354,0.22809068858623505,8.157705441680548e-06
1,6.587395546375774e-06,0.0020638881251215935,0.0020638881251215935,0.23229220509529114,8.327633033092066e-06
2,3.334704615554074e-06,0.001039238297380507,0.001039238297380507,0.11650291830301285,4.215656766886532e-06
3,3.498372734611621e-06,0.0011313740396872163,0.0011313740396872163,0.1270640641450882,4.422562093509975e-06
4,3.822770850092638e-06,0.0012633133446797729,0.0012633133446797729,0.14183421432971954,4.83265864023338e-06
5,3.3261144380958285e-06,0.0010358194122090936,0.0010358194122090936,0.11610487103462219,4.204797576599233e-06
6,3.7036263620393584e-06,0.0012092445977032185,0.0012092445977032185,0.1356092095375061,4.682039661018618e-06
7,3.888171704602428e-06,0.0012803702848032117,0.0012803702848032117,0.14345264434814453,4.91533738219737e-06
8,4.536124833975919e-06,0.0015095050912350416,0.0015095050912350416,0.16968663036823273,5.734464401739374e-06
9,3.2458242458233144e-06,0.0009971633553504944,0.0009971633553504944,0.11182135343551636,4.103296010787001e-06
Média,4.239608256284555e-06,0.0013558750157244503,0.0013558750157244503,0.15224587991833688,5.35961510077441e-06
Desvio Padrão,1.2593616301087272e-06,0.00039374220029598996,0.00039374220029598996,0.04444538413867343,1.5920558497343145e-06
