,MSE,MAE,RMSE,MAPE,THEIL_U
0,1984.4081800827537,37.0049004838267,44.5466966236864,0.18118130343671526,4.8301124240747006e-06
1,1067.8988511961006,23.32845102430478,32.67872168852541,0.11447661730773186,2.599299660517567e-06
2,3025.06771542335,49.87063262129927,55.0006155913127,0.24967028738011815,7.363110726203652e-06
3,928.9546289358187,22.86257650617176,30.47875701100389,0.1174097995314656,2.2611050184430732e-06
4,2647.06909754078,43.615988385252486,51.449675388099195,0.21140947689567488,6.443050106194755e-06
5,2550.082901724538,40.170621593909786,50.498345534527544,0.21679402235583134,6.206982630723939e-06
6,1754.9986991991686,29.05417656888077,41.892704605923555,0.14125676467886555,4.271722474397047e-06
7,2572.733256045405,39.5762195820546,50.7221180161614,0.2158110665005996,6.262114311248632e-06
8,880.0401176151381,20.412472686037344,29.665470122941556,0.0994688695738679,2.1420455471009885e-06
9,3616.9436726988633,50.66576835598165,60.141031523402255,0.26972844212278635,8.803755571070367e-06
Média,2102.8197120461914,35.65618078077192,44.70741361055839,0.18172066497836564,5.118329846997473e-06
Desvio Padrão,939.2310298706726,11.154815351208747,10.753132892358497,0.0602742498883435,2.286118104121918e-06
