,MSE,MAE,RMSE,MAPE,THEIL_U
0,0.0003206286928616464,0.009787071496248245,0.009787071496248245,1.0465303659439087,0.00040533145665495423
1,0.0002835741324815899,0.009316678158938885,0.009316678158938885,0.9990485906600952,0.000358487928820689
2,0.00039461650885641575,0.01038901787251234,0.01038901787251234,1.1073400974273682,0.0004988652217337409
3,0.00035549738095141947,0.010835298337042332,0.010835298337042332,1.1673521995544434,0.00044941168208670584
4,0.0002847452706191689,0.010476999916136265,0.010476999916136265,1.1388452053070068,0.00035996849774687633
5,0.00026693331892602146,0.012182350270450115,0.012182350270450115,1.3426692485809326,0.00033745098982733646
6,0.0003899051225744188,0.01175807137042284,0.01175807137042284,1.2640011310577393,0.0004929090728515833
7,0.0003008472267538309,0.013252966105937958,0.013252966105937958,1.4626367092132568,0.00038032421091149153
8,0.0002448059094604105,0.008485857397317886,0.008485857397317886,0.9095113277435303,0.00030947804707752956
9,0.0002667850349098444,0.00903291068971157,0.00903291068971157,0.9698624610900879,0.000337263519728909
Média,0.00031083385983947663,0.010551722161471844,0.010551722161471844,1.140779733657837,0.00039294906274398164
Desvio Padrão,5.2823871396471215e-05,0.0014984446260754517,0.0014984446260754517,0.17417465665494333,6.677872912770056e-05
,,,
